PotID	PlantNum_Initial	FH_Num	FecundityNum	SurvivalNum	Mortality	6_12_total_num	6_12_late_germ_num	6_12_duplicate_num	Damaged_pot
457	19	0	6	6	13	18	0	0	NA
458	20	6	0	6	14	16	0	0	NA
459	20	10	0	10	10	17	0	0	NA
460	19	20	0	20	-1	19	0	0	NA
461	13	4	1	5	8	8	0	0	NA
462	7	3	0	3	4	2	0	0	NA
463	19	0	17	17	2	17	0	0	NA
464	20	15	0	15	5	18	0	0	NA
465	20	18	0	18	2	20	0	0	NA
466	19	17	0	17	2	18	0	0	NA
467	20	13	0	13	7	26	6	0	NA
468	15	12	4	16	-1	18	2	0	NA
469	19	18	0	18	1	23	1	3	NA
470	6	8	0	8	-2	6	1	0	NA
471	13	6	1	7	6	23	5	4	NA
472	18	10	1	11	7	11	0	0	NA
473	15	12	0	12	3	28	12	2	NA
474	17	2	1	3	14	21	4	0	NA
475	14	15	0	15	-1	29	10	3	NA
476	18	11	12	23	-5	21	2	2	NA
477	18	0	0	0	18	13	0	0	NA
478	20	6	0	6	14	15	2	0	NA
479	18	1	12	13	5	22	2	0	NA
480	19	6	7	13	6	18	0	0	NA
